,Length,AT,DA,SA,SRCE,DSTI
5360,649,2020-05-15 13:25:37.321704+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5361,1468,2020-05-15 13:25:37.347845+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5362,1472,2020-05-15 13:25:37.347966+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5363,295,2020-05-15 13:25:37.353483+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
5364,409,2020-05-15 13:25:37.355937+02:00,c4:ea:1d:e6:79:e8,74:c6:3b:50:5f:b9,Azurewave,Router2
5365,409,2020-05-15 13:25:37.356905+02:00,c4:ea:1d:e6:79:e8,74:c6:3b:50:5f:b9,Azurewave,Router2
5366,155,2020-05-15 13:25:37.357108+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5367,164,2020-05-15 13:25:37.375195+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5368,155,2020-05-15 13:25:37.391937+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5369,155,2020-05-15 13:25:37.392396+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5370,155,2020-05-15 13:25:37.396540+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5371,154,2020-05-15 13:25:37.403242+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5372,154,2020-05-15 13:25:37.406448+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5373,146,2020-05-15 13:25:37.406743+02:00,74:c6:3b:50:5f:b9,c4:ea:1d:e6:79:e8,Router2,Azurewave
5374,1472,2020-05-15 13:25:37.407304+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5375,1472,2020-05-15 13:25:37.407865+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5376,409,2020-05-15 13:25:37.408516+02:00,74:c6:3b:50:5f:b9,c4:ea:1d:e6:79:e8,Router2,Azurewave
5377,1468,2020-05-15 13:25:37.409089+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
